,DOI,Titre,Auteur de correspondance,Revue,ISSN_L,Editeur,Année de publication,Licence,Statut_OA
0,10.1186/s13054-023-04792-0,Single-drug versus combination antimicrobial therapy in critically ill patients with hospital-acquired pneumonia and ventilator-associated pneumonia due to Gram-negative pathogens: a multicenter retrospective cohort study,François Barbier,Critical Care,1364-8535,BioMed Central,2024,cc-by,gold
1,10.25107/2474-1647,Use of a Titanium Mesh Plate with High Three-Dimensional Flexibility to Repair an Orbital Floor Fracture: Clinical Note,United States,False,False,False,2017,cc-by,gold
2,10.3389/fmed.2024.1373260,Comprehensive literature review of oral and intravenous contrast-enhanced PET/CT: a step forward?,Gilles Metrard,Frontiers in Medicine,2296-858X,Frontiers Media,2024,cc-by,gold
3,10.3390/biomedicines12030666,Performance of Radiological and Biochemical Biomarkers in Predicting Radio-Symptomatic Knee Osteoarthritis Progression,Ahmad Almhdie,Biomedicines,2227-9059,Multidisciplinary Digital Publishing Institute,2024,cc-by,gold
4,10.1136/bmjopen-2023-080235,"Effect of nutritional supplementation on bone mineral density in children with sickle cell disease: protocol for an open-label, randomised controlled clinical trial",Georges Dimitrov,BMJ Open,2044-6055,BMJ,2024,cc-by-nc,gold
5,10.3390/vaccines12040428,Therapeutic Vaccines for HPV-Associated Cervical Malignancies: A Systematic Review,Souhail Alouini,Vaccines,2076-393X,Multidisciplinary Digital Publishing Institute,2024,cc-by,gold
6,10.1186/s12885-024-12157-1,Evaluation of a new score associated with acute kidney injury in patients treated with cisplatin based EXTREME regimen,François Avry,BMC Cancer,1471-2407,BioMed Central,2024,cc-by,gold
7,10.1007/s00134-024-07489-2,"Pneumocystis pneumonia in intensive care: clinical spectrum, prophylaxis patterns, antibiotic treatment delay impact, and role of corticosteroids. A French multicentre prospective cohort study",Toufik Kamel,Intensive Care Medicine,0342-4642,Springer Science+Business Media,2024,cc-by-nc,hybrid
8,10.1186/s13613-024-01309-y,Pneumocystis pneumonia in French intensive care units in 2013–2019: mortality and immunocompromised conditions,Toufik Kamel,Annals of Intensive Care,2110-5820,Springer Nature,2024,cc-by,gold
9,10.1186/s12984-024-01374-1,Video mirror feedback induces more extensive brain activation compared to the mirror box: an fNIRS study in healthy adults,Julien Bonnal,Journal of NeuroEngineering and Rehabilitation,1743-0003,BioMed Central,2024,cc-by,gold
10,10.3389/fpsyt.2024.1394583,Delirium management in perioperative geriatric services: a narrative review of non-pharmaceutical strategies,Rozenn Travers,Frontiers in Psychiatry,1664-0640,Frontiers Media,2024,cc-by,gold
11,10.3390/ijerph21070954,Risk Factors Associated with Urothelial Bladder Cancer,Souhail Alouini,International Journal of Environmental Research and Public Health,1660-4601,Multidisciplinary Digital Publishing Institute,2024,cc-by,gold
12,10.1097/RLU.0000000000005460,Peritoneal Actinomycosis After Bariatric Surgery Mimicking a Peritoneal Carcinomatosis on 18F-FDG PET/CT,"Agathe Fevrier, Matthieu Bailly, Gilles Metrard",Clinical Nuclear Medicine,0363-9762,Lippincott Williams & Wilkins,2024,cc-by-nc-nd,hybrid
13,10.1093/ofid/ofae492,"Limited Impact of Cannabidiol on Health-related Quality of Life of People With Long-term Controlled HIV: A Double-blind, Randomized, Controlled Trial",Patrizia Carrieri,Open Forum Infectious Diseases,2328-8957,Oxford University Press,2024,cc-by,gold
14,10.1097/RLU.0000000000005594,A Rare Case of Eosinophilic Myocarditis Described With 18F-FDG PET/CT,"Hugo Peslier, Gilles Metrard, Matthieu Bailly",Clinical Nuclear Medicine,0363-9762,Lippincott Williams & Wilkins,2024,cc-by-nc-nd,hybrid
15,10.3390/cancers16193394,"Para-Aortic Lymphadenectomy in Ovarian, Endometrial, Gastric, and Bladder Cancers: A Systematic Review of Randomized Controlled Trials",Souhail Alouini,Cancers,2072-6694,Multidisciplinary Digital Publishing Institute,2024,cc-by,gold
16,10.1093/ofid/ofae748,Learning From Full Characterization of HIV Proviruses in People Receiving Long-Acting Cabotegravir/Rilpivirine With a History of Replication on the Antiretroviral Classes,Gilbert Mchantaf,Open Forum Infectious Diseases,2328-8957,Oxford University Press,2024,cc-by-nc-nd,gold
